county;region;having_electricity_f;having_radio_f;having_television_f;having_refrigirator_f;having_landlinephone_f;having_mobilephone_f;having_solarpanel_f;having_table_f;having_chair_f;having_sofa_f;having_bed_f;having_cupboard_f;having_clock_f;having_microwave_f;having_dvdplayer_f;having_cdplayer_f
Turkana;Rift Valley;0.0408163265;0.0860058309;0.0451895044;0.0131195335;0.0014577259;0.3313868613;0.0364431487;0.1690962099;0.2376093294;0.0787172012;0.1635036496;0.0539358601;0.0174927114;0.0014577259;0.0174927114;0.0116618076
West Pokot;Rift Valley;0.1085626911;0.4051987768;0.1039755352;0;0.003058104;0.6055045872;0.0626911315;0.7217125382;0.8394495413;0.3532110092;0.9281345566;0.1822358346;0.0412844037;0.004587156;0.0550458716;0.0351681957
Samburu;Rift Valley;0.1707670043;0.3502170767;0.1374819103;0.02170767;0.0043541364;0.6251808973;0.0492040521;0.3719247467;0.7192474674;0.2156295224;0.7930535456;0.1403762663;0.0318379161;0.01447178;0.0956521739;0.0188679245
Trans-Nzoia;Rift Valley;0.22319202;0.6596009975;0.2605985037;0.0299625468;0.0024968789;0.845;0.1306532663;0.8963795256;0.7375;0.6920199501;0.9163545568;0.4169787765;0.1741854637;0.0124688279;0.1533665835;0.1011235955
Baringo;Rift Valley;0.1780028944;0.5913043478;0.1924746744;0.010130246;0.004341534;0.7047756874;0.1289855072;0.7093023256;0.7608695652;0.4368650218;0.9289855072;0.3057971014;0.0769230769;0.0029027576;0.1101449275;0.0739130435
Uasin Gishu;Rift Valley;0.3533007335;0.7237163814;0.358190709;0.0403422983;0.0085574572;0.8948655257;0.1603427173;0.9095354523;0.8997555012;0.6393643032;0.935128519;0.5036674817;0.2114914425;0.0281173594;0.1650366748;0.0623471883
Elgeyo Marak;Rift Valley;0.1950207469;0.6708160443;0.1966759003;0.0083102493;0.0013831259;0.7745504841;0.1109570042;0.8644536653;0.9266943292;0.5650969529;0.9278779473;0.3969571231;0.1175656985;0.0096952909;0.1217150761;0.0857538036
Nandi;Rift Valley;0.1737451737;0.7142857143;0.241956242;0.0154440154;0.0025740026;0.8262548263;0.1325611326;0.8931788932;0.9202059202;0.5958815959;0.8944658945;0.425997426;0.1483870968;0.0128700129;0.1248391248;0.0953608247
Laikipia;Rift Valley;0.3234100135;0.7347767253;0.3721244926;0.0474254743;0.0081521739;0.8875338753;0.1829268293;0.8227334235;0.5588633288;0.6472184532;0.8863328823;0.5899864682;0.1788617886;0.027100271;0.248985115;0.0649526387
Nakuru;Rift Valley;0.4828349945;0.7853982301;0.4330011074;0.0655555556;0.0033370412;0.8971238938;0.0967741935;0.8956714761;0.9334073252;0.628190899;0.9611973392;0.5688888889;0.1997767857;0.0478309232;0.2791991101;0.1059085842
Narok;Rift Valley;0.1697645601;0.7013630731;0.1685254027;0.0210656753;0.0024783147;0.8389095415;0.1167701863;0.7335811648;0.8327137546;0.3519206939;0.9281288724;0.3308550186;0.0743494424;0.0136307311;0.1437422553;0.1189591078
Kajiado;Rift Valley;0.5207792208;0.6597402597;0.4116883117;0.1376623377;0.0090909091;0.8831168831;0.05859375;0.7207792208;0.8181818182;0.5597402597;0.9480519481;0.4298701299;0.2233766234;0.0831168831;0.3363636364;0.1155844156
Kericho;Rift Valley;0.1994497937;0.6826923077;0.2077028886;0.032967033;0.0027510316;0.833562586;0.0906593407;0.8337912088;0.9423076923;0.4027586207;0.8954607978;0.3768913343;0.1267217631;0.010989011;0.1167582418;0.0990371389
Bomet;Rift Valley;0.0834454913;0.7075471698;0.1310810811;0.0134770889;0.0013513514;0.8396226415;0.1628532974;0.868102288;0.9461641992;0.4137466307;0.9286675639;0.3140161725;0.0890688259;0.0026954178;0.0741239892;0.0566037736
Kakamega;Western;0.1670480549;0.6956521739;0.2551487414;0.0343642612;0.004587156;0.8512585812;0.1523482245;0.9210526316;0.9130434783;0.5360824742;0.9495990836;0.470790378;0.2231121281;0.0194508009;0.1258581236;0.0778032037
Vihiga;Western;0.1525198939;0.7318361955;0.2288359788;0.0238410596;0.0039735099;0.8388375165;0.0719041278;0.9735099338;0.9815059445;0.5515873016;0.9470899471;0.6050198151;0.2430647292;0.0052840159;0.0885072655;0.0752972259
Bungoma;Western;0.1243842365;0.6354679803;0.2022194821;0.0185185185;0.009864365;0.8187422935;0.1333333333;0.9088669951;0.9642857143;0.4421182266;0.9173859433;0.381773399;0.1514778325;0.0073891626;0.0997536946;0.065270936
Busia;Western;0.1056701031;0.5721649485;0.1729032258;0.0206185567;0.0051546392;0.7997416021;0.0632258065;0.8890322581;0.9136597938;0.5773195876;0.9225806452;0.344516129;0.1842783505;0.0038860104;0.0941935484;0.0735483871
